,code,n_k_d,time_steps,error_model,decoder,error_probability,measurement_error_probability,n_run,n_success,n_fail,n_logical_commutations,custom_totals,error_weight_total,error_weight_pvar,logical_failure_rate,physical_error_rate,wall_time,n,k,d,bias,decoder_chi
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2981,19,12,,1139191,285.9902798888889,0.006333333333333333,0.24998705288567039,5048.91770176962,1519,1,45,50.0,8.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2981,19,8,,1139191,285.9902798888889,0.006333333333333333,0.24998705288567039,5048.91770176962,1519,1,45,50.0,8.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2977,23,16,,1140416,276.4121048888889,0.007666666666666666,0.25025587008997147,6502.608134726994,1519,1,45,50.0,8.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2977,23,8,,1140416,276.4121048888889,0.007666666666666666,0.25025587008997147,6502.608134726994,1519,1,45,50.0,8.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2968,32,12,,1138462,278.8665062222222,0.010666666666666666,0.24982707921878428,6524.009319533128,1519,1,45,50.0,8.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2968,32,21,,1138462,278.8665062222222,0.010666666666666666,0.24982707921878428,6524.009319533128,1519,1,45,50.0,8.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2977,23,13,,1140345,276.95844166666666,0.007666666666666666,0.25024028966425277,6447.422209677985,1519,1,45,50.0,8.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2977,23,11,,1140345,276.95844166666666,0.007666666666666666,0.25024028966425277,6447.422209677985,1519,1,45,50.0,8.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2965,35,17,,1139559,266.18205766666665,0.011666666666666667,0.2500678077682686,6505.2787051917985,1519,1,45,50.0,8.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2965,35,19,,1139559,266.18205766666665,0.011666666666666667,0.2500678077682686,6505.2787051917985,1519,1,45,50.0,8.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2961,39,24,,1138742,291.83215955555556,0.013,0.24988852315119595,5060.479860473424,1519,1,45,50.0,8.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2961,39,17,,1138742,291.83215955555556,0.013,0.24988852315119595,5060.479860473424,1519,1,45,50.0,8.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2975,25,15,,1141211,277.2387198888889,0.008333333333333333,0.25043032696949746,6613.184455559123,1519,1,45,50.0,8.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2975,25,10,,1141211,277.2387198888889,0.008333333333333333,0.25043032696949746,6613.184455559123,1519,1,45,50.0,8.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2976,24,14,,1138800,283.16,0.008,0.24990125082290982,6712.424413334113,1519,1,45,50.0,8.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2976,24,12,,1138800,283.16,0.008,0.24990125082290982,6712.424413334113,1519,1,45,50.0,8.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2972,28,12,,1139867,285.62636788888886,0.009333333333333334,0.25013539609392144,6591.754063802073,1519,1,45,50.0,8.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2972,28,17,,1139867,285.62636788888886,0.009333333333333334,0.25013539609392144,6591.754063802073,1519,1,45,50.0,8.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2969,31,15,,1138873,278.5178745555556,0.010333333333333333,0.24991727013386,6537.806410738034,1519,1,45,50.0,8.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2969,31,18,,1138873,278.5178745555556,0.010333333333333333,0.24991727013386,6537.806410738034,1519,1,45,50.0,8.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2980,20,12,,1139926,279.6673915555556,0.006666666666666667,0.250148343208251,6740.543185772141,1519,1,45,50.0,8.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2980,20,11,,1139926,279.6673915555556,0.006666666666666667,0.250148343208251,6740.543185772141,1519,1,45,50.0,8.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2971,29,18,,1138315,286.45019722222224,0.009666666666666667,0.24979482115426815,6738.775195134105,1519,1,45,50.0,8.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2971,29,13,,1138315,286.45019722222224,0.009666666666666667,0.24979482115426815,6738.775195134105,1519,1,45,50.0,8.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2977,23,9,,1139207,283.64979455555556,0.007666666666666666,0.2499905639675225,6425.10096703493,1519,1,45,50.0,8.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2977,23,15,,1139207,283.64979455555556,0.007666666666666666,0.2499905639675225,6425.10096703493,1519,1,45,50.0,8.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2973,27,15,,1137281,282.2642265555556,0.009,0.2495679174895765,5056.3147977516055,1519,1,45,50.0,8.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2973,27,13,,1137281,282.2642265555556,0.009,0.2495679174895765,5056.3147977516055,1519,1,45,50.0,8.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2976,24,12,,1137634,279.86667155555557,0.008,0.24964538073293832,5045.120260775089,1519,1,45,50.0,8.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2976,24,14,,1137634,279.86667155555557,0.008,0.24964538073293832,5045.120260775089,1519,1,45,50.0,8.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2975,25,17,,1138169,289.8718265555556,0.008333333333333333,0.24976278253236778,6540.954718457069,1519,1,45,50.0,8.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2975,25,8,,1138169,289.8718265555556,0.008333333333333333,0.24976278253236778,6540.954718457069,1519,1,45,50.0,8.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2966,34,22,,1139901,277.53057766666666,0.011333333333333334,0.25014285714285717,6721.416647091974,1519,1,45,50.0,8.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2966,34,14,,1139901,277.53057766666666,0.011333333333333334,0.25014285714285717,6721.416647091974,1519,1,45,50.0,8.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2971,29,9,,1140631,285.0520932222222,0.009666666666666667,0.250303050252359,6514.696854351088,1519,1,45,50.0,8.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2971,29,21,,1140631,285.0520932222222,0.009666666666666667,0.250303050252359,6514.696854351088,1519,1,45,50.0,8.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2975,25,17,,1137626,301.71579155555554,0.008333333333333333,0.2496436251920123,6517.356146242004,1519,1,45,50.0,8.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2975,25,8,,1137626,301.71579155555554,0.008333333333333333,0.2496436251920123,6517.356146242004,1519,1,45,50.0,8.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2980,20,13,,1137252,290.17561066666667,0.006666666666666667,0.24956155365371957,6549.6739070899785,1519,1,45,50.0,8.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0.0,3000,2980,20,9,,1137252,290.17561066666667,0.006666666666666667,0.24956155365371957,6549.6739070899785,1519,1,45,50.0,8.0
